Year,CO2
1800-01-01,0.00568
1801-01-01,0.00561
1802-01-01,0.00555
1803-01-01,0.00548
1804-01-01,0.00542
1805-01-01,0.00536
1806-01-01,0.00529
1807-01-01,0.00523
1808-01-01,0.00517
1809-01-01,0.00511
1810-01-01,0.00504
1811-01-01,0.00497
1812-01-01,0.0049
1813-01-01,0.00483
1814-01-01,0.00475
1815-01-01,0.00466
1816-01-01,0.00457
1817-01-01,0.00447
1818-01-01,0.00438
1819-01-01,0.00427
1820-01-01,0.00417
1821-01-01,0.00406
1822-01-01,0.00395
1823-01-01,0.00384
1824-01-01,0.00373
1825-01-01,0.00362
1826-01-01,0.0035
1827-01-01,0.00339
1828-01-01,0.00327
1829-01-01,0.00316
1830-01-01,0.00305
1831-01-01,0.00294
1832-01-01,0.00283
1833-01-01,0.00273
1834-01-01,0.00263
1835-01-01,0.00253
1836-01-01,0.00244
1837-01-01,0.00235
1838-01-01,0.00227
1839-01-01,0.00218
1840-01-01,0.0021
1841-01-01,0.00202
1842-01-01,0.00195
1843-01-01,0.00188
1844-01-01,0.00181
1845-01-01,0.00175
1846-01-01,0.0118
1847-01-01,0.0147
1848-01-01,0.0174
1849-01-01,0.0198
1850-01-01,0.0236
1851-01-01,0.0271
1852-01-01,0.0318
1853-01-01,0.0376
1854-01-01,0.0445
1855-01-01,0.0522
1856-01-01,0.0608
1857-01-01,0.0715
1858-01-01,0.0853
1859-01-01,0.0996
1860-01-01,0.118
1861-01-01,0.139
1862-01-01,0.167
1863-01-01,0.206
1864-01-01,0.242
1865-01-01,0.288
1866-01-01,0.346
1867-01-01,0.436
1868-01-01,0.255
1869-01-01,0.182
1870-01-01,0.321
1871-01-01,0.461
1872-01-01,0.471
1873-01-01,0.406
1874-01-01,0.404
1875-01-01,0.461
1876-01-01,0.45
1877-01-01,0.484
1878-01-01,0.456
1879-01-01,0.508
1880-01-01,1.2
1881-01-01,1.27
1882-01-01,1.48
1883-01-01,1.64
1884-01-01,1.87
1885-01-01,1.78
1886-01-01,1.87
1887-01-01,2.14
1888-01-01,2.77
1889-01-01,2.33
1890-01-01,2.53
1891-01-01,2.81
1892-01-01,2.78
1893-01-01,2.94
1894-01-01,2.78
1895-01-01,2.62
1896-01-01,2.81
1897-01-01,2.8
1898-01-01,2.94
1899-01-01,3.53
01-01-1900,3.73
01-01-1901,4.24
01-01-1902,4.49
01-01-1903,4.78
01-01-1904,5.5
01-01-1905,5.72
01-01-1906,5.87
01-01-1907,7.18
01-01-1908,7.02
01-01-1909,6.51
01-01-1910,7.2
01-01-1911,8.18
01-01-1912,8.86
01-01-1913,10.1
01-01-1914,8.53
01-01-1915,7.51
01-01-1916,9.33
01-01-1917,10.3
01-01-1918,10.7
01-01-1919,8.91
01-01-1920,9.64
01-01-1921,8.98
01-01-1922,7.6
01-01-1923,10.1
01-01-1924,8.27
01-01-1925,7.91
01-01-1926,8.75
01-01-1927,9.32
01-01-1928,9.32
01-01-1929,9.66
01-01-1930,9.04
01-01-1931,7.15
01-01-1932,6.53
01-01-1933,6.39
01-01-1934,7.28
01-01-1935,7.11
01-01-1936,7.7
01-01-1937,8.27
01-01-1938,7.5
01-01-1939,8.25
01-01-1940,9.33
01-01-1941,10.2
01-01-1942,11
01-01-1943,11.4
01-01-1944,11.5
01-01-1945,10.5
01-01-1946,11
01-01-1947,11.2
01-01-1948,12.1
01-01-1949,10.8
01-01-1950,11.2
01-01-1951,11.5
01-01-1952,11
01-01-1953,10.8
01-01-1954,10.7
01-01-1955,10.8
01-01-1956,11.7
01-01-1957,11
01-01-1958,10.7
01-01-1959,10.5
01-01-1960,10.8
01-01-1961,10.6
01-01-1962,11.1
01-01-1963,11.1
01-01-1964,12.3
01-01-1965,12.8
01-01-1966,12.9
01-01-1967,13.8
01-01-1968,14.6
01-01-1969,14.6
01-01-1970,15.9
01-01-1971,16.2
01-01-1972,17.2
01-01-1973,17
01-01-1974,17.1
01-01-1975,17.2
01-01-1976,17
01-01-1977,17.2
01-01-1978,17.3
01-01-1979,18.2
01-01-1980,18.1
01-01-1981,17.3
01-01-1982,16.6
01-01-1983,16.2
01-01-1984,16.6
01-01-1985,16.3
01-01-1986,15.5
01-01-1987,16.2
01-01-1988,16.9
01-01-1989,17
01-01-1990,15.7
01-01-1991,15.2
01-01-1992,15.5
01-01-1993,15.5
01-01-1994,15.7
01-01-1995,15.9
01-01-1996,16.2
01-01-1997,16.6
01-01-1998,16.8
01-01-1999,16.9
01-01-2000,17.4
01-01-2001,17
01-01-2002,16.6
01-01-2003,17.5
01-01-2004,17.3
01-01-2005,17.3
01-01-2006,16.7
01-01-2007,16.8
01-01-2008,16.8
01-01-2009,15.9
01-01-2010,15.6
01-01-2011,15.6
01-01-2012,14.8
01-01-2013,14.7
01-01-2014,15.1
